iter	Passed	Remaining
0	7	7176
1	14	7038
2	21	7211
3	28	7128
4	36	7167
5	43	7128
6	50	7221
7	57	7160
8	65	7255
9	87	8691
10	119	10761
11	131	10858
12	149	11366
13	156	11019
14	164	10819
15	172	10579
16	181	10486
17	197	10752
18	204	10543
19	229	11233
20	243	11335
21	261	11610
22	270	11475
23	278	11333
24	306	11937
25	315	11830
26	324	11707
27	332	11532
28	339	11352
29	346	11219
30	366	11455
31	374	11327
32	382	11203
33	401	11420
34	409	11284
35	447	11995
36	464	12084
37	473	11995
38	483	11911
39	493	11852
40	508	11898
41	524	11960
42	533	11863
43	541	11754
44	553	11737
45	559	11609
46	566	11477
47	586	11634
48	597	11601
49	615	11690
50	625	11633
51	646	11781
52	652	11664
53	665	11663
54	672	11562
55	694	11698
56	728	12058
57	737	11981
58	759	12116
59	772	12100
60	781	12034
61	791	11970
62	798	11880
63	820	11994
64	829	11931
65	851	12043
66	860	11988
67	868	11899
68	876	11832
69	883	11737
70	897	11742
71	904	11661
72	945	12004
73	954	11940
74	963	11877
75	970	11801
76	1021	12245
77	1027	12147
78	1034	12057
79	1040	11971
80	1068	12118
81	1077	12067
82	1086	12008
83	1094	11931
84	1100	11848
85	1108	11778
86	1115	11702
87	1123	11647
88	1130	11570
89	1138	11507
90	1145	11442
91	1158	11429
92	1165	11363
93	1173	11309
94	1192	11359
95	1198	11288
96	1222	11378
97	1230	11325
98	1237	11259
99	1254	11288
100	1262	11234
101	1269	11176
102	1284	11183
103	1290	11121
104	1296	11049
105	1303	10997
106	1310	10939
107	1319	10896
108	1329	10864
109	1336	10812
110	1343	10759
111	1350	10706
112	1357	10652
113	1375	10692
114	1384	10657
115	1392	10609
116	1399	10558
117	1407	10517
118	1413	10465
119	1422	10433
120	1429	10384
121	1437	10343
122	1455	10376
123	1462	10330
124	1469	10288
125	1487	10315
126	1493	10266
127	1501	10226
128	1532	10347
129	1551	10385
130	1560	10352
131	1569	10321
132	1576	10279
133	1585	10243
134	1591	10200
135	1599	10163
136	1612	10155
137	1619	10118
138	1626	10076
139	1633	10036
140	1659	10112
141	1667	10075
142	1673	10030
143	1683	10006
144	1703	10045
145	1710	10004
146	1722	9996
147	1730	9961
148	1751	10004
149	1759	9970
150	1768	9941
151	1775	9902
152	1783	9875
153	1790	9835
154	1798	9804
155	1829	9897
156	1844	9902
157	1850	9862
158	1857	9826
159	1864	9789
160	1875	9774
161	1883	9745
162	1890	9707
163	1897	9674
164	1904	9639
165	1923	9662
166	1930	9629
167	1954	9679
168	1963	9654
169	1984	9690
170	1991	9656
171	1999	9625
172	2006	9592
173	2015	9569
174	2023	9540
175	2031	9510
176	2037	9474
177	2045	9445
178	2052	9412
179	2058	9377
180	2065	9347
181	2073	9317
182	2110	9424
183	2119	9398
184	2127	9370
185	2138	9358
186	2148	9341
187	2155	9310
188	2162	9279
189	2186	9322
190	2202	9328
191	2212	9309
192	2218	9276
193	2248	9341
194	2255	9310
195	2264	9287
196	2271	9258
197	2279	9233
198	2285	9200
199	2311	9244
200	2328	9255
201	2336	9230
202	2346	9211
203	2352	9178
204	2375	9211
205	2384	9189
206	2392	9165
207	2405	9161
208	2412	9131
209	2420	9106
210	2428	9081
211	2434	9050
212	2443	9026
213	2449	8998
214	2456	8970
215	2468	8960
216	2476	8936
217	2482	8904
218	2499	8912
219	2508	8892
220	2514	8862
221	2527	8857
222	2533	8827
223	2544	8813
224	2550	8785
225	2558	8762
226	2578	8779
227	2585	8752
228	2592	8727
229	2598	8698
230	2609	8688
231	2621	8678
232	2628	8651
233	2635	8626
234	2641	8599
235	2648	8575
236	2685	8645
237	2694	8626
238	2704	8611
239	2711	8585
240	2718	8561
241	2726	8538
242	2732	8511
243	2740	8491
244	2764	8518
245	2779	8517
246	2788	8501
247	2809	8518
248	2825	8521
249	2831	8495
250	2840	8476
251	2847	8452
252	2873	8484
253	2886	8479
254	2900	8475
255	2907	8450
256	2914	8424
257	2921	8402
258	2931	8386
259	2938	8364
260	2945	8339
261	2952	8316
262	2977	8342
263	2986	8324
264	3010	8350
265	3020	8333
266	3026	8308
267	3034	8287
268	3041	8264
269	3047	8239
270	3055	8219
271	3062	8197
272	3071	8179
273	3078	8157
274	3088	8141
275	3095	8121
276	3106	8108
277	3115	8091
278	3124	8073
279	3136	8065
280	3145	8049
281	3160	8045
282	3174	8041
283	3188	8038
284	3206	8044
285	3220	8039
286	3237	8042
287	3257	8053
288	3268	8041
289	3281	8034
290	3296	8031
291	3305	8013
292	3348	8079
293	3368	8088
294	3378	8074
295	3388	8058
296	3399	8046
297	3418	8052
298	3426	8034
299	3435	8016
300	3442	7994
301	3452	7979
302	3460	7959
303	3469	7943
304	3492	7957
305	3500	7939
306	3524	7955
307	3534	7940
308	3540	7918
309	3549	7900
310	3586	7945
311	3602	7944
312	3611	7927
313	3620	7908
314	3631	7897
315	3670	7945
316	3681	7931
317	3689	7913
318	3699	7897
319	3706	7876
320	3716	7861
321	3738	7872
322	3747	7855
323	3755	7835
324	3770	7830
325	3780	7815
326	3787	7795
327	3797	7781
328	3805	7760
329	3815	7746
330	3822	7725
331	3830	7707
332	3848	7708
333	3856	7689
334	3866	7675
335	3877	7663
336	3885	7643
337	3895	7629
338	3903	7610
339	3930	7628
340	3937	7609
341	3947	7595
342	3987	7638
343	3997	7623
344	4004	7603
345	4018	7595
346	4034	7593
347	4043	7575
348	4050	7555
349	4060	7541
350	4068	7522
351	4079	7509
352	4097	7510
353	4105	7491
354	4115	7477
355	4125	7462
356	4132	7443
357	4143	7430
358	4162	7431
359	4169	7412
360	4194	7425
361	4226	7448
362	4234	7430
363	4243	7413
364	4271	7430
365	4280	7414
366	4291	7401
367	4301	7386
368	4308	7368
369	4332	7376
370	4348	7372
371	4356	7354
372	4381	7364
373	4391	7350
374	4412	7354
375	4423	7341
376	4444	7344
377	4456	7332
378	4475	7333
379	4482	7312
380	4490	7295
381	4524	7320
382	4533	7302
383	4542	7287
384	4570	7300
385	4586	7295
386	4594	7277
387	4602	7259
388	4614	7247
389	4622	7230
390	4638	7224
391	4653	7217
392	4662	7201
393	4672	7187
394	4680	7168
395	4688	7151
396	4696	7132
397	4703	7113
398	4709	7094
399	4716	7074
400	4722	7054
401	4728	7034
402	4735	7015
403	4742	6996
404	4748	6976
405	4785	7001
406	4794	6985
407	4817	6989
408	4825	6973
409	4847	6976
410	4856	6959
411	4864	6943
412	4872	6925
413	4900	6936
414	4907	6917
415	4914	6899
416	4920	6879
417	4927	6861
418	4934	6842
419	4940	6823
420	4947	6804
421	4956	6788
422	4962	6769
423	4969	6750
424	4976	6733
425	4983	6714
426	4989	6695
427	5001	6683
428	5007	6664
429	5014	6647
430	5034	6646
431	5042	6629
432	5049	6611
433	5055	6593
434	5064	6578
435	5081	6573
436	5087	6554
437	5094	6537
438	5101	6518
439	5107	6500
440	5114	6482
441	5120	6464
442	5126	6446
443	5139	6435
444	5158	6433
445	5164	6415
446	5171	6397
447	5177	6379
448	5184	6362
449	5191	6344
450	5197	6326
451	5204	6309
452	5211	6292
453	5219	6277
454	5225	6259
455	5233	6243
456	5241	6227
457	5249	6211
458	5255	6194
459	5263	6179
460	5284	6178
461	5290	6161
462	5298	6145
463	5305	6128
464	5312	6112
465	5332	6110
466	5347	6102
467	5353	6085
468	5360	6068
469	5394	6083
470	5402	6067
471	5410	6052
472	5424	6043
473	5458	6057
474	5466	6042
475	5476	6028
476	5484	6013
477	5491	5996
478	5498	5980
479	5504	5963
480	5511	5946
481	5517	5929
482	5534	5924
483	5540	5907
484	5548	5891
485	5554	5874
486	5560	5857
487	5568	5842
488	5575	5826
489	5581	5809
490	5588	5793
491	5595	5777
492	5612	5771
493	5619	5756
494	5626	5739
495	5638	5729
496	5644	5712
497	5650	5696
498	5658	5680
499	5665	5665
500	5671	5649
501	5678	5632
502	5684	5617
503	5690	5600
504	5706	5593
505	5713	5578
506	5719	5561
507	5726	5546
508	5736	5534
509	5743	5518
510	5750	5502
511	5757	5487
512	5764	5472
513	5770	5456
514	5777	5441
515	5800	5440
516	5807	5425
517	5814	5410
518	5821	5395
519	5827	5379
520	5834	5363
521	5840	5348
522	5846	5332
523	5854	5317
524	5861	5303
525	5867	5287
526	5875	5273
527	5891	5266
528	5909	5261
529	5915	5245
530	5922	5230
531	5941	5226
532	5948	5212
533	5955	5197
534	5962	5181
535	5969	5167
536	5975	5152
537	5983	5137
538	5990	5123
539	5996	5108
540	6003	5093
541	6016	5083
542	6023	5069
543	6029	5054
544	6046	5047
545	6063	5041
546	6070	5027
547	6076	5012
548	6083	4997
549	6090	4983
550	6096	4968
551	6103	4953
552	6110	4939
553	6117	4925
554	6129	4914
555	6154	4915
556	6163	4901
557	6171	4888
558	6183	4878
559	6190	4864
560	6197	4849
561	6203	4835
562	6210	4820
563	6217	4806
564	6230	4797
565	6243	4787
566	6251	4773
567	6260	4761
568	6266	4746
569	6273	4732
570	6280	4718
571	6287	4704
572	6294	4690
573	6301	4676
574	6307	4662
575	6313	4647
576	6320	4633
577	6327	4619
578	6333	4605
579	6340	4591
580	6346	4576
581	6352	4562
582	6359	4548
583	6370	4537
584	6386	4530
585	6402	4523
586	6409	4509
587	6450	4519
588	6461	4508
589	6470	4496
590	6511	4506
591	6521	4494
592	6574	4512
593	6590	4504
594	6600	4492
595	6624	4490
596	6636	4480
597	6644	4466
598	6665	4461
599	6671	4447
600	6677	4433
601	6684	4419
602	6690	4405
603	6697	4390
604	6710	4381
605	6716	4366
606	6723	4352
607	6728	4338
608	6735	4324
609	6741	4310
610	6748	4296
611	6757	4284
612	6763	4270
613	6771	4257
614	6788	4249
615	6795	4236
616	6802	4222
617	6819	4215
618	6834	4206
619	6842	4193
620	6849	4180
621	6856	4166
622	6862	4152
623	6875	4143
624	6884	4130
625	6891	4117
626	6911	4111
627	6926	4102
628	6943	4095
629	6952	4083
630	6960	4070
631	6966	4056
632	6973	4043
633	6980	4029
634	7003	4025
635	7011	4013
636	7019	3999
637	7025	3986
638	7031	3972
639	7038	3958
640	7049	3948
641	7055	3934
642	7079	3930
643	7088	3918
644	7094	3904
645	7102	3891
646	7109	3878
647	7118	3866
648	7155	3870
649	7162	3856
650	7169	3843
651	7176	3830
652	7182	3816
653	7189	3803
654	7196	3790
655	7202	3776
656	7209	3763
657	7215	3750
658	7234	3743
659	7240	3730
660	7247	3716
661	7253	3703
662	7260	3690
663	7267	3677
664	7273	3663
665	7280	3651
666	7286	3638
667	7293	3624
668	7300	3611
669	7312	3601
670	7320	3589
671	7326	3576
672	7342	3567
673	7349	3554
674	7356	3542
675	7363	3529
676	7379	3520
677	7386	3508
678	7392	3494
679	7399	3482
680	7419	3475
681	7426	3462
682	7433	3449
683	7439	3436
684	7446	3424
685	7452	3411
686	7459	3398
687	7465	3385
688	7472	3372
689	7479	3360
690	7485	3347
691	7491	3334
692	7511	3327
693	7518	3315
694	7525	3302
695	7531	3289
696	7538	3277
697	7544	3264
698	7551	3251
699	7557	3238
700	7564	3226
701	7570	3213
702	7592	3207
703	7599	3195
704	7607	3183
705	7618	3172
706	7655	3172
707	7664	3160
708	7672	3149
709	7680	3137
710	7687	3124
711	7695	3112
712	7717	3106
713	7726	3094
714	7734	3082
715	7741	3070
716	7747	3058
717	7754	3045
718	7760	3033
719	7767	3020
720	7773	3008
721	7780	2995
722	7786	2983
723	7793	2970
724	7799	2958
725	7805	2945
726	7812	2933
727	7819	2921
728	7825	2909
729	7839	2899
730	7856	2891
731	7872	2882
732	7878	2869
733	7884	2857
734	7891	2845
735	7898	2833
736	7904	2820
737	7912	2808
738	7932	2801
739	7949	2792
740	7957	2781
741	7981	2775
742	7989	2763
743	8012	2756
744	8020	2745
745	8028	2733
746	8037	2722
747	8043	2709
748	8050	2697
749	8072	2690
750	8088	2681
751	8104	2672
752	8128	2666
753	8152	2659
754	8161	2648
755	8170	2636
756	8177	2624
757	8193	2615
758	8201	2604
759	8210	2592
760	8218	2581
761	8226	2569
762	8234	2557
763	8241	2545
764	8249	2534
765	8257	2522
766	8266	2511
767	8285	2502
768	8293	2491
769	8301	2479
770	8308	2467
771	8316	2456
772	8324	2444
773	8331	2432
774	8339	2421
775	8347	2409
776	8354	2397
777	8367	2387
778	8375	2376
779	8390	2366
780	8405	2356
781	8412	2345
782	8419	2333
783	8427	2321
784	8435	2310
785	8444	2299
786	8451	2287
787	8459	2275
788	8466	2264
789	8480	2254
790	8488	2242
791	8496	2231
792	8505	2220
793	8515	2209
794	8522	2197
795	8528	2185
796	8535	2174
797	8542	2162
798	8548	2150
799	8586	2146
800	8594	2135
801	8601	2123
802	8615	2113
803	8634	2105
804	8643	2093
805	8651	2082
806	8657	2070
807	8664	2058
808	8672	2047
809	8678	2035
810	8685	2024
811	8695	2013
812	8712	2004
813	8719	1992
814	8725	1980
815	8732	1969
816	8739	1957
817	8760	1949
818	8775	1939
819	8784	1928
820	8792	1916
821	8798	1905
822	8804	1893
823	8811	1881
824	8817	1870
825	8824	1858
826	8831	1847
827	8837	1835
828	8844	1824
829	8852	1813
830	8863	1802
831	8870	1791
832	8876	1779
833	8883	1768
834	8889	1756
835	8897	1745
836	8903	1733
837	8910	1722
838	8916	1711
839	8923	1699
840	8945	1691
841	8962	1681
842	8977	1671
843	8984	1660
844	8992	1649
845	8998	1638
846	9005	1626
847	9011	1615
848	9018	1604
849	9025	1592
850	9031	1581
851	9053	1572
852	9060	1561
853	9067	1550
854	9073	1538
855	9083	1528
856	9089	1516
857	9105	1506
858	9118	1496
859	9131	1486
860	9137	1475
861	9144	1463
862	9151	1452
863	9159	1441
864	9165	1430
865	9171	1419
866	9179	1408
867	9185	1396
868	9192	1385
869	9198	1374
870	9205	1363
871	9212	1352
872	9218	1341
873	9225	1329
874	9231	1318
875	9239	1307
876	9257	1298
877	9263	1287
878	9270	1276
879	9277	1265
880	9283	1253
881	9305	1244
882	9312	1233
883	9318	1222
884	9336	1213
885	9344	1202
886	9357	1192
887	9368	1181
888	9375	1170
889	9382	1159
890	9398	1149
891	9405	1138
892	9411	1127
893	9418	1116
894	9424	1105
895	9430	1094
896	9437	1083
897	9444	1072
898	9451	1061
899	9458	1050
900	9464	1039
901	9471	1029
902	9492	1019
903	9499	1008
904	9523	999
905	9532	989
906	9540	978
907	9546	967
908	9553	956
909	9559	945
910	9565	934
911	9572	923
912	9579	912
913	9585	901
914	9606	892
915	9612	881
916	9619	870
917	9625	859
918	9632	849
919	9639	838
920	9645	827
921	9661	817
922	9667	806
923	9674	795
924	9681	784
925	9687	774
926	9693	763
927	9699	752
928	9706	741
929	9713	731
930	9719	720
931	9726	709
932	9732	698
933	9739	688
934	9752	677
935	9759	667
936	9765	656
937	9772	645
938	9778	635
939	9800	625
940	9809	615
941	9816	604
942	9830	594
943	9836	583
944	9845	573
945	9862	562
946	9870	552
947	9876	541
948	9892	531
949	9899	521
950	9906	510
951	9912	499
952	9919	489
953	9926	478
954	9938	468
955	9945	457
956	9951	447
957	9958	436
958	9965	426
959	9971	415
960	9978	404
961	9984	394
962	9990	383
963	9997	373
964	10016	363
965	10022	352
966	10029	342
967	10035	331
968	10041	321
969	10048	310
970	10063	300
971	10069	290
972	10079	279
973	10086	269
974	10104	259
975	10123	248
976	10139	238
977	10171	228
978	10180	218
979	10202	208
980	10210	197
981	10219	187
982	10233	176
983	10241	166
984	10248	156
985	10255	145
986	10262	135
987	10269	124
988	10276	114
989	10282	103
990	10294	93
991	10301	83
992	10307	72
993	10314	62
994	10321	51
995	10328	41
996	10335	31
997	10347	20
998	10354	10
999	10368	0
